sample-id	name	sample_date	location	year	month	day	sample_date2	size_fraction2	sample_date_2
170105_j	170105_j	170105	J	2017	1	5	2017.01.05	0.2	μm
170307_j	170307_j	170307	J	2017	3	7	2017.03.07	0.2	μm
170412_j	170412_j	170412	J	2017	4	12	2017.04.12	0.2	μm
170501_j	170501_j	170501	J	2017	5	1	2017.05.01	0.2	μm
170523_j	170523_j	170523	J	2017	5	23	2017.05.23	0.2	μm
170612_j	170612_j	170612	J	2017	6	12	2017.06.12	0.2	μm
170615_j	170615_j	170615	J	2017	6	15	2017.06.15	0.2	μm
170620_f	170620_f	170620	F	2017	6	20	2017.06.20	0.2	μm
170620_j	170620_j	170620	J	2017	6	20	2017.06.20	0.2	μm
170621_f	170621_f	170621	F	2017	6	21	2017.06.21	0.2	μm
170623_j	170623_j	170623	J	2017	6	23	2017.06.23	0.2	μm
170626_j	170626_j	170626	J	2017	6	26	2017.06.26	0.2	μm
170630_j	170630_j	170630	J	2017	6	30	2017.06.30	0.2	μm
170706_j	170706_j	170706	J	2017	7	6	2017.07.06	0.2	μm
170714_j	170714_j	170714	J	2017	7	14	2017.07.14	0.2	μm
170721_j	170721_j	170721	J	2017	7	21	2017.07.21	0.2	μm
170726_j	170726_j	170726	J	2017	7	26	2017.07.26	0.2	μm
170804_j	170804_j	170804	J	2017	8	4	2017.08.04	0.2	μm
170818_j	170818_j	170818	J	2017	8	18	2017.08.18	0.2	μm
170927_j	170927_j	170927	J	2017	9	27	2017.09.27	0.2	μm
171027_j	171027_j	171027	J	2017	10	27	2017.10.27	0.2	μm
171110_j	171110_j	171110	J	2017	11	10	2017.11.10	0.2	μm
171110_m	171110_m	171110	M	2017	11	10	2017.11.10	0.2	μm
171113_j	171113_j	171113	J	2017	11	13	2017.11.13	0.2	μm
171218_j	171218_j	171218	J	2017	12	18	2017.12.18	0.2	μm
180110_j	180110_j	180110	J	2018	1	10	2018.01.10	0.2	μm
180219_j	180219_j	180219	J	2018	2	19	2018.02.19	0.2	μm
180313_j	180313_j	180313	J	2018	3	13	2018.03.13	0.2	μm
180410_j	180410_j	180410	J	2018	4	10	2018.04.10	0.2	μm
180510_j	180510_j	180510	J	2018	5	10	2018.05.10	0.2	μm
180528_j	180528_j	180528	J	2018	5	28	2018.05.28	0.2	μm
180607_u	180607_u	180607	U	2018	6	7	2018.06.07	0.2	μm
180622_j	180622_j	180622	J	2018	6	22	2018.06.22	0.2	μm
180629_j	180629_j	180629	J	2018	6	29	2018.06.29	0.2	μm
180718_j	180718_j	180718	J	2018	7	18	2018.07.18	0.2	μm
180725_j	180725_j	180725	J	2018	7	25	2018.07.25	0.2	μm
180802_j	180802_j	180802	J	2018	8	2	2018.08.02	0.2	μm
180809_j	180809_j	180809	J	2018	8	9	2018.08.09	0.2	μm
180815_j	180815_j	180815	J	2018	8	15	2018.08.15	0.2	μm
180827_j	180827_j	180827	J	2018	8	27	2018.08.27	0.2	μm
180827_m	180827_m	180827	M	2018	8	27	2018.08.27	0.2	μm
180903_j	180903_j	180903	J	2018	9	3	2018.09.03	0.2	μm
180925_j	180925_j	180925	J	2018	9	25	2018.09.25	0.2	μm
